Megans_Original_Work,Influence_Type,New_Artist,New_Song,Weight
Candlelight Confessions,InterpolatesFrom,Jay Walters,The Pound of Flesh Sonata,1
Wilderness Vows at Twilight,InStyleOf,Andrew Williams,The Pound of Flesh Sonata,1
Wilderness Vows at Twilight,InStyleOf,Jay Walters,The Pound of Flesh Sonata,1
Wilderness Vows at Twilight,InStyleOf,Fang Xue,Branded Dreams,1
Wilderness Vows at Twilight,InStyleOf,Ping Tian,Branded Dreams,1
Wilderness Vows at Twilight,InStyleOf,Tao Sun,Branded Dreams,1
Forgiveness Falls,InterpolatesFrom,Fang Xue,Branded Dreams,1
Forgiveness Falls,InterpolatesFrom,Ping Tian,Branded Dreams,1
Forgiveness Falls,InterpolatesFrom,Tao Sun,Branded Dreams,1
Wilderness Vows at Twilight,InterpolatesFrom,Andrew Williams,Reindeer Breath Melody,1
Wilderness Vows at Twilight,InterpolatesFrom,Quattro Voci,Reindeer Breath Melody,1
Candlelight Confessions,LyricalReferenceTo,Andrew Williams,Reindeer Breath Melody,1
Candlelight Confessions,LyricalReferenceTo,Quattro Voci,Reindeer Breath Melody,1
Wilderness Vows at Twilight,LyricalReferenceTo,Jay Walters,Whispers of Sacred Silence,1
Candlelight Confessions,InterpolatesFrom,Jay Walters,Whispers of Sacred Silence,1
Wilderness Vows at Twilight,LyricalReferenceTo,Megan Bennett,Candlelight Confessions,1
Wilderness Vows at Twilight,LyricalReferenceTo,Andrew Williams,Candlelight Confessions,1
Wilderness Vows at Twilight,LyricalReferenceTo,Brian Wright,Candlelight Confessions,1
Wilderness Vows at Twilight,LyricalReferenceTo,Quattro Voci,Candlelight Confessions,1
Gleaming Hope's Horizon,InterpolatesFrom,Megan Bennett,Blooming Duality,1
Gleaming Hope's Horizon,InterpolatesFrom,Norbert Flisek,Blooming Duality,1
Gleaming Hope's Horizon,InterpolatesFrom,Monika Przewłoka,Blooming Duality,1
Wilderness Vows at Twilight,CoverOf,Ismet Heser,Unfinished Conversations,1
The Last Frame of Pola,CoverOf,Lorraine Martinez,Whispered Waltzes in Minor,1
The Last Frame of Pola,CoverOf,Gang Zhao,Whispered Waltzes in Minor,1
The Last Frame of Pola,CoverOf,Guiying Lei,Whispered Waltzes in Minor,1
Mirrors of Deception,CoverOf,Lorraine Martinez,Whispered Waltzes in Minor,1
Mirrors of Deception,CoverOf,Gang Zhao,Whispered Waltzes in Minor,1
Mirrors of Deception,CoverOf,Guiying Lei,Whispered Waltzes in Minor,1
Civic Pride: A Municipal Melody,CoverOf,Lorraine Martinez,Whispered Waltzes in Minor,1
Civic Pride: A Municipal Melody,CoverOf,Gang Zhao,Whispered Waltzes in Minor,1
Civic Pride: A Municipal Melody,CoverOf,Guiying Lei,Whispered Waltzes in Minor,1
Candlelight Confessions,InStyleOf,Quattro Voci,Paths Beyond Memory,1
Wilderness Vows at Twilight,LyricalReferenceTo,Quattro Voci,Paths Beyond Memory,1
"Clean Lungs, Clear Mind",InterpolatesFrom,Megan Bennett,Unbroken Promise,1
"Clean Lungs, Clear Mind",InterpolatesFrom,Dawn Massey,Unbroken Promise,1
"Clean Lungs, Clear Mind",InterpolatesFrom,Rachel Garcia,Unbroken Promise,1
"Clean Lungs, Clear Mind",InterpolatesFrom,Ralph Bell,Unbroken Promise,1
Harmony in the Alleyway,DirectlySamples,Megan Bennett,Unbroken Promise,1
Harmony in the Alleyway,DirectlySamples,Dawn Massey,Unbroken Promise,1
Harmony in the Alleyway,DirectlySamples,Rachel Garcia,Unbroken Promise,1
Harmony in the Alleyway,DirectlySamples,Ralph Bell,Unbroken Promise,1
The Last Frame of Pola,InterpolatesFrom,Megan Bennett,Unbroken Promise,1
The Last Frame of Pola,InterpolatesFrom,Dawn Massey,Unbroken Promise,1
The Last Frame of Pola,InterpolatesFrom,Rachel Garcia,Unbroken Promise,1
The Last Frame of Pola,InterpolatesFrom,Ralph Bell,Unbroken Promise,1
Mirrors of Deception,LyricalReferenceTo,Ricky Silva,Twenty-Four Hours Unfolding,1
Mirrors of Deception,LyricalReferenceTo,Sonic Pulse,Twenty-Four Hours Unfolding,1
Civic Pride: A Municipal Melody,CoverOf,Ricky Silva,Twenty-Four Hours Unfolding,1
Civic Pride: A Municipal Melody,CoverOf,Sonic Pulse,Twenty-Four Hours Unfolding,1
Candlelight Confessions,CoverOf,Brian Wright,Whispers and Touches,1
Wilderness Vows at Twilight,InterpolatesFrom,Brian Wright,Whispers and Touches,1
Candlelight Confessions,InStyleOf,Andrew Williams,Mannequin's Whisper,1
Candlelight Confessions,InStyleOf,Jay Walters,Mannequin's Whisper,1
Candlelight Confessions,InStyleOf,Quattro Voci,Mannequin's Whisper,1
Wilderness Vows at Twilight,InterpolatesFrom,Andrew Williams,Mannequin's Whisper,1
Wilderness Vows at Twilight,InterpolatesFrom,Jay Walters,Mannequin's Whisper,1
Wilderness Vows at Twilight,InterpolatesFrom,Quattro Voci,Mannequin's Whisper,1
Mirrors of Deception,InStyleOf,Lorraine Martinez,Temples and Shadows,1
Mirrors of Deception,InStyleOf,Xia Fu,Temples and Shadows,1
Mirrors of Deception,InStyleOf,Li Luo,Temples and Shadows,1
Mirrors of Deception,InStyleOf,Gang Zhao,Temples and Shadows,1
Mirrors of Deception,InStyleOf,Triassic Collective,Temples and Shadows,1
Wilderness Vows at Twilight,InStyleOf,Angelika Osojca,Across All Distances,1
Wilderness Vows at Twilight,InStyleOf,Ping Tian,Across All Distances,1
Wilderness Vows at Twilight,InStyleOf,Megan Bennett,Forgiveness Falls,1
Wilderness Vows at Twilight,InStyleOf,Brian Wright,Forgiveness Falls,1
Wilderness Vows at Twilight,InStyleOf,Justin Doyle,Forgiveness Falls,1
Wilderness Vows at Twilight,InStyleOf,Eva Sani,Forgiveness Falls,1
Wilderness Vows at Twilight,InStyleOf,Quattro Voci,Wooden Heart's Whisper,1
Forgiveness Falls,CoverOf,Qiang Long,Toppled from Grace,1
The Last Frame of Pola,LyricalReferenceTo,Gertrude Dietz-Drub,"Hydraulic Heart, Gerd",1
The Last Frame of Pola,LyricalReferenceTo,Krista Fritsch,"Hydraulic Heart, Gerd",1
Harmony in the Alleyway,InterpolatesFrom,Gertrude Dietz-Drub,"Hydraulic Heart, Gerd",1
Harmony in the Alleyway,InterpolatesFrom,Krista Fritsch,"Hydraulic Heart, Gerd",1
Candlelight Confessions,LyricalReferenceTo,Andrew Williams,Aqua Mechanica,1
Candlelight Confessions,LyricalReferenceTo,Jay Walters,Aqua Mechanica,1
Candlelight Confessions,LyricalReferenceTo,Quattro Voci,Aqua Mechanica,1
Wilderness Vows at Twilight,CoverOf,Andrew Williams,Aqua Mechanica,1
Wilderness Vows at Twilight,CoverOf,Jay Walters,Aqua Mechanica,1
Wilderness Vows at Twilight,CoverOf,Quattro Voci,Aqua Mechanica,1
Wilderness Vows at Twilight,InStyleOf,Angelika Osojca,Hooves and Hopes,1
Wilderness Vows at Twilight,InStyleOf,Ping Tian,Hooves and Hopes,1
Wilderness Vows at Twilight,InStyleOf,Min Fu,Hooves and Hopes,1
Wilderness Vows at Twilight,LyricalReferenceTo,Andrew Williams,Whispers of a Poet's Ink,1
Wilderness Vows at Twilight,LyricalReferenceTo,Ismet Heser,Whispers of a Poet's Ink,1
Wilderness Vows at Twilight,LyricalReferenceTo,Quattro Voci,Whispers of a Poet's Ink,1
Forgiveness Falls,InterpolatesFrom,James George,Whispers of Potential,1
Wilderness Vows at Twilight,InStyleOf,James George,Whispers of Potential,1
Fever Pitch Madness,InterpolatesFrom,Jamie Ramos,Moonlit Metamorphosis,1
Fever Pitch Madness,InterpolatesFrom,Sonic Pulse,Moonlit Metamorphosis,1
Wilderness Vows at Twilight,InterpolatesFrom,Ismet Heser,Crossroads at Dusk,1
Candlelight Confessions,DirectlySamples,Quattro Voci,Broken Again,1
Wilderness Vows at Twilight,LyricalReferenceTo,Quattro Voci,Broken Again,1
Civic Pride: A Municipal Melody,CoverOf,Megan Bennett,Stone and Water: A London Passage,1
Mirrors of Deception,InStyleOf,Megan Bennett,Stone and Water: A London Passage,1
Civic Pride: A Municipal Melody,DirectlySamples,Li Luo,Regal Advance,1
Civic Pride: A Municipal Melody,DirectlySamples,Gang Zhao,Regal Advance,1
The Last Frame of Pola,InStyleOf,Li Luo,Regal Advance,1
The Last Frame of Pola,InStyleOf,Gang Zhao,Regal Advance,1
Wilderness Vows at Twilight,CoverOf,Quattro Voci,Iron Hooves and Leather Reins,1
